country,expenditure,year,annual_inflation
United States,Miscellaneous goods and services,2023,6.091952
United States,Recreation and culture,2011,-0.3150816
United States,Recreation and culture,2012,0.6865212
United States,Recreation and culture,2013,0.1243561
United States,Recreation and culture,2014,-0.1050363
United States,Recreation and culture,2015,0.02375352
United States,Recreation and culture,2016,0.3683412
United States,Recreation and culture,2017,0.8242372
United States,Recreation and culture,2018,0.03175471
United States,Recreation and culture,2019,0.7961585
United States,Recreation and culture,2020,1.110668
United States,Recreation and culture,2021,2.602583
United States,Recreation and culture,2022,4.633376
United States,Recreation and culture,2023,3.602402
United States,Restaurants and hotels,2011,2.765083
United States,Restaurants and hotels,2012,0.4216049
United States,Restaurants and hotels,2013,2.037282
United States,Restaurants and hotels,2014,2.685882
United States,Restaurants and hotels,2015,2.822092
United States,Restaurants and hotels,2016,2.63021
United States,Restaurants and hotels,2017,2.104085
United States,Restaurants and hotels,2018,2.413655
United States,Restaurants and hotels,2019,2.960448
United States,Restaurants and hotels,2020,1.504988
United States,Restaurants and hotels,2021,5.043777
United States,Restaurants and hotels,2022,8.215855
United States,Restaurants and hotels,2023,5.433435
United States,Transport,2011,11.61792
United States,Transport,2012,2.190023
United States,Transport,2013,-0.6600554
United States,Transport,2014,-1.519197
United States,Transport,2015,-10.02131
United States,Transport,2016,-3.634065
United States,Transport,2017,2.624893
United States,Transport,2018,4.011728
United States,Transport,2019,-0.4611982
United States,Transport,2020,-4.250852
United States,Transport,2021,15.8044
United States,Transport,2022,16.60956
United States,Transport,2023,-2.388965
