title,author,date,abstract,column,url
Listening to flat-earthers,Nik Narain,2024-08-31,"Why, from such a young age, was I indoctrinated into the ideology that claimed the Earth was round, rather than the true geomorphic tortilla (or tortilloid) on which civilization has flourished for centuries?",Campus Voices,https://www.dukechronicle.com/article/2024/08/083124-narain-listening-to-flat-earthers
Hillel is a welcoming place for all Jewish students,Zachary Patterson,2024-08-30,"While some may say it is not possible to serve all Jewish students and be a Zionist organization, it is essential to understand why Hillels function with these guidelines and how they manage to achieve both of these goals.",Opinion,https://www.dukechronicle.com/article/2024/08/083024-patterson-hillel-is-welcoming
What’s so great about democracy?,Walter Sinnott-Armstrong,2024-08-29,"Plato ranked democracy as the lowest form of ordered government. Hitler gained power through democratic processes. The majority of voters in the United States at one time supported slavery. With this tainted history, why do so many people fear what they call undemocratic? ",Campus Voices,https://www.dukechronicle.com/article/2024/08/082924-sinnott-armstrong-whats-great-about-democracy
A note to international students,Alistar Erickson-Ludwig,2024-08-28,"Do not pretend everyone has their lives together and that imposter syndrome is not here. Instead, acknowledge it and try hard not to perpetuate it. ",Opinion,https://www.dukechronicle.com/article/2024/08/082824-erickson-ludwig-a-note-to-international-students
Virtues of democracy: An introductory column ,Brian Hare,2024-08-27,"Will democracy survive? Can it thrive? Will it get better on its own? As a citizen, why should we care and what role can we all play? ",Campus Voices,https://www.dukechronicle.com/article/2024/08/082724-hare-virtues-of-democracy
Don't hesitate to celebrate,Luke A. Powery,2024-08-26,"Celebrating may seem out of touch with “real life” with the ongoing injustices of war and innocent bloodshed, but a deep wisdom reveals otherwise. ",Campus Voices,https://www.dukechronicle.com/article/2024/08/082624-powery-dont-hesitate-to-celebrate
Duke University faculty must stop advocating for anti-gay and anti-transgender laws,Vivian Taylor,2024-08-26,"Professor Doriane Coleman's advocacy for discrimination poses a significant threat to trans rights, women's rights and human rights in general.",Opinion,https://www.dukechronicle.com/article/2024/08/082624-taylor-coleman-trans-rights
Unmasking indoctrination: The Zionist agenda behind Duke's “Antisemitism 101 Training”,Eli Meyerhoff,2024-06-26,"The training failed to acknowledge the rich history of anti-Zionist, diasporic Jewish movements that have presented alternative visions for Jewish safety.",Opinion,https://www.dukechronicle.com/article/2024/06/062624-meyerhoff-unmasking-indoctrination
Holding Duke accountable: A call for divestment from Israeli apartheid 76 years into the ongoing Nakba,Duke Divest Coalition,2024-05-28,"Duke's use of land grabs, gentrification and forced displacement to expand its operations and wealth are the same tactics used by the Israeli government against Palestinians in occupied Palestine. ",Opinion,https://www.dukechronicle.com/article/2024/05/052824-duke-divest-coalition-holding-duke-accountable
Abridging freedom of speech at Duke,Luke Vrotsos,2024-05-04,"Duke should either stick to its stated policy, and allow all legal speech on the bridge, or abandon the pretense of a “free expression” bridge altogether. ",Opinion,https://www.dukechronicle.com/article/2024/05/050424-vrotsos-abridging-speech
"Duke J Street U statement on ""Gaza Solidarity Encampments""",Executive Board of Duke J Street U,2024-05-02,"In this time of heightened tensions on college campuses, it is critical to vigilantly ensure the safety of Jewish students while protecting free speech and protest. We must be careful not to breach into anti-democratic action that conflicts with our liberal ideals and contributes to more hate.",Opinion,https://www.dukechronicle.com/article/2024/05/050224-duke-j-street-u-statement-on-encampments
Could’ve been worse,Jazper Lu,2024-04-24,Prescribing things I could’ve done differently is really just rolling the dice again with the possibility of worse outcomes.,Campus Voices,https://www.dukechronicle.com/article/2024/04/042424-lu-could-have-been-worse
The Chronicle is my best-kept secret from my parents,Linda Cao,2024-04-24,I encourage you to take hold of existing in the world and to not put a hold on existing.,Campus Voices,https://www.dukechronicle.com/article/2024/04/042424-cao-chronicle-best-kept-secret
Writing into the void,Derek Deng,2024-04-24,"It was a difficult reality to accept — that, as obvious as it sounds, my writing was being read, unraveled and picked apart by classmates, parents and strangers on the Internet.",Campus Voices,https://www.dukechronicle.com/article/2024/04/042424-deng-writing-into-void
Climbing the beanstalk and the sleeping giant I wish I’d slain,Andrew Long,2024-04-24,Trying to balance who I wanted to be as a person with what I wanted to do as editor was a scale that I never quite leveled. ,Campus Voices,https://www.dukechronicle.com/article/2024/04/042424-long-climbing-beanstalk
Meeting the moment,Anisha Reddy,2024-04-24,"To a vision of community, to student journalism at its bravest and to the organization I hope we can become.",Campus Voices,https://www.dukechronicle.com/article/2024/04/042424-reddy-meeting-the-moment
Listening and learning,Amy Guan,2024-04-24,Each story was an opportunity for me to both learn something about Duke and the vibrant communities within it and share what I learned with a broader community. ,Campus Voices,https://www.dukechronicle.com/article/2024/04/042424-guan-listening-learning
Your invisible professor,Carol Apollonio,2024-04-24,"Sometimes I hear from students about hierarchies and inequalities in their campus communities. Duke professors, too, find themselves arrayed along a socio-economic hierarchy that feels significantly more rigid than in years past.",Campus Voices,https://www.dukechronicle.com/article/2024/04/042424-apollonio-your-invisible-professor
Things your civics teacher didn't tell you: The fight for bodily autonomy,Maite McPherson,2024-04-23,The recent SB 20 abortion restriction is the latest wave of a legal culture that enforces a medical reality in which Black communities lose mothers and infants at disproportionately high rates.,Opinion,https://www.dukechronicle.com/article/2024/04/042324-mcpherson-bodily-autonomy-fight
Breaking down barriers: Reproductive justice amidst systemic challenges,Miracle Adedeji,2024-04-23,"I desire a healthcare landscape where my blackness, and that of others, is not a factor that diminishes my worthiness of care from any doctor. I aspire to a healthcare system where Black women are not restricted from the abortion care they need.",Opinion,https://www.dukechronicle.com/article/2024/04/042324-adedeji-reproductive-justice-systemic-challenges
Training in a post-Roe landscape,Rebecca Fairchild,2024-04-23,"As a reproductive-aged rising OBGYN, the consequences of the Dobbs decision on safe reproductive care are as personal as they are professional.",Opinion,https://www.dukechronicle.com/article/2024/04/042324-fairchild-post-roe-landscape-training
Waiting For May flowers,Anna Garziera,2024-04-23,"Perhaps, we need something simpler: the permission to take a break.",Campus Voices,https://www.dukechronicle.com/article/2024/04/042324-garziera-waiting-for-may-flowers
Faith over religion,Paul Dilly,2024-04-23,Religion is meant to be a supplement to your faith; it is not meant to be a replacement.,Campus Voices,https://www.dukechronicle.com/article/2024/04/042324-dilly-faith-over-religion
"‘I’m Just Like Spider-Man,’ says anonymous columnist",Monday Monday and Zoe Tishaev,2024-04-22,"Rejected from The Fluke twice, chronic bench napper, DSG expat: My name is Zoe Tishaev (sometimes known as my mobile order name, “Candice Nutzfitinyomouf”), and it has been an honor to serve as your Monday Monday.",Campus Voices,https://www.dukechronicle.com/article/2024/04/042124-monday-monday-reveal
A column about columns,Heidi Smith,2024-04-22,"Writing my OP-Eds has been a means of deep self-reflection, and that’s what I’ve gotten from my time as a columnist.",Campus Voices,https://www.dukechronicle.com/article/2024/04/042224-smith-a-column-about-columns
Performative action: Duke’s misunderstanding of the Reginaldo Howard Scholarship,Craig Vincent,2024-04-19,"Critics of affirmative action argue that universities reduce people down to their race. By eliminating the Reginaldo Howard Memorial Scholarship program, Duke has proved them right. ",Opinion,https://www.dukechronicle.com/article/2024/04/041924-vincent-reginaldo-howard-scholarship
The beauty of Amtrak and our obsession with efficiency,Nathan Luzum,2024-04-19,"But while we often trumpet what’s gained with efficiency, we fail to consider what’s lost. Sometimes we have difficulty parsing the tasks requiring efficiency from those that offer opportunity for discovery, enjoyment and whimsy.",Campus Voices,https://www.dukechronicle.com/article/2024/04/041924-luzum-amtrak-efficiency
Higher education has an intellectual elitism problem,Alex Berkman,2024-04-19,May I make clear that I do not ask that any of you compromise on your own views. I simply request that you recognize that disagreement is more often rooted in a difference in values and circumstance than it is in ignorance and/or unintelligence.,Campus Voices,https://www.dukechronicle.com/article/2024/04/041924-berkman-higher-ed-elitism
Why we need 'why',Gabrielle Mollin,2024-04-18,"If we don’t question, we embrace the status quo and lose out on an opportunity to shape the future.",Campus Voices,https://www.dukechronicle.com/article/2024/04/041824-mollin-passover-questions-learning
Why do people still not believe in climate change?,Nik Narain,2024-04-18,This broken relationship between the ivory tower and the much larger rest of the world furthers distrust in evidence-based research and all of science as a whole.,Campus Voices,https://www.dukechronicle.com/article/2024/04/041824-narain-climate-change-disbelief
Your new curriculum: An invitation,Carol Apollonio,2024-04-17,Your advisor urged you to explore intellectually! Expand your mind! Try something new! You saw their lips moving but heard no sound.,Campus Voices,https://www.dukechronicle.com/article/2024/04/041724-apollonio-new-curriculum
Anything but a blueprint,Paul Dilly,2024-04-16,Defining the terms and conditions of your life in such concrete terms makes it seem as if you’re guaranteeing your success. Don’t fall for the trap.,Campus Voices,https://www.dukechronicle.com/article/2024/04/041624-dilly-anything-but-blueprint
'Take a song with you on the journey',Luke A. Powery,2024-04-15,"As we come to the end of this academic year, and as you look toward the summer and beyond, take a song with you on the journey. It is a gift for your soul.",Campus Voices,https://www.dukechronicle.com/article/2024/04/041524-powery-take-song-with-you
‘Bravo!’: Duke alums rave after watching Duke students do Duke student things,Monday Monday,2024-04-15,"Continuing the annual tradition of soliciting alumni donations, this year’s performance of an “Average Day at Duke” was a smashing success. The alumni committee went above and beyond to organize a Centennial spectacle to remember.",Campus Voices,https://www.dukechronicle.com/article/2024/04/041524-monday-monday-duke-student-performance
The tyranny of time,Aaron Siegle,2024-04-12,Real change occurs over timescales that are beyond our attention span.,Campus Voices,https://www.dukechronicle.com/article/2024/04/041124-siegle-tyranny-of-time
Buckle up: There’s more to learn,Anna Garziera,2024-04-10,"By freeing up that mental space, we can go on learning “more important things” like physics and philosophy. But at the same time, there is an associated cost. We are losing independence.",Campus Voices,https://www.dukechronicle.com/article/2024/04/041024-garziera-more-to-learn
When you accidentally read an anti-transgender court document,Jess Jiang,2024-04-10,"I was at a loss about why and how people would argue against gender-affirming care, except possibly due to religious beliefs or unfamiliarity with transgender issues.",Campus Voices,https://www.dukechronicle.com/article/2024/04/041024-jiang-anti-transgender-court-document
"Choose you, always",Paul Dilly,2024-04-09,"We face different struggles, and we process our pain in different ways. For me, I process by being brutally honest. Telling the truth enables me to live as I am: I can be at peace with how I feel and simultaneously strive to make things better for myself.",Campus Voices,https://www.dukechronicle.com/article/2024/04/040924-dilly-choose-yourself-always
Pay attention in class,Heidi Smith,2024-04-08,"While reflecting on my four years of education here, I noticed a trend in their staying power, almost so simple it’s stupid: The classes I got the most value from tended to be the ones in which I paid the most attention.",Campus Voices,https://www.dukechronicle.com/article/2024/04/040824-smith-pay-attention-class
Touchstone: On turning 20 and our scorn of growing older,Advikaa Anand,2024-04-04,We fear ever diving into the dreaded phase that lies on the other side of childhood: adulthood. ,Campus Voices,https://www.dukechronicle.com/article/2024/04/040424-anand-growing-older-scorn
Why nutrition studies keep contradicting each other,Nik Narain,2024-04-04,How do we eat in a way that aligns with our values against a constant moral battleground around food? How do we determine what is actually “good for us” and the world around us against a system of scientific information ripe with contradiction?,Campus Voices,https://www.dukechronicle.com/article/2024/04/04042024-narain-contradicting-nutrition-studies
College wasn’t working for us. So we left.,Aaron Price,2024-04-03,Students take gap semesters during college to work on all sorts of different things and every person I’ve talked to has grown immensely through and loved their experience.,Campus Voices,https://www.dukechronicle.com/article/2024/04/040324-price-gap-semester
Duke needs spicy food,Jessica Luan,2024-04-02,Spicy food is a delicious way to bring some heat to the Duke experience. ,Campus Voices,https://www.dukechronicle.com/article/2024/04/040224-luan-spicy-food
A love letter to the Duke Chapel,Anna Sorensen,2024-04-02,"We tend to define intellectuality within the bounds of reason, emphasizing the explicable over the miraculous. We find it difficult to believe in what we can’t see or label, and we struggle to surrender control and place faith in higher powers. ",Campus Voices,https://www.dukechronicle.com/article/2024/04/040224-sorensen-duke-chapel-love-letter
Duke recommits itself to fossil fuels and an unlivable future for its students in recent ACIR report,Duke Climate Coalition,2024-04-02,Looking at the actual content of the ACIR’s report only further shows the ways in which information is distorted to delegitimize the effects of divestment in fighting climate change.,Opinion,https://www.dukechronicle.com/article/2024/04/040224-duke-climate-coalition-acir-report-response
More like Duke 'Secret Government': Uncovering the truth of DSG,Monday Monday,2024-04-01,Monday Monday recently sent an anonymous correspondent to infiltrate the DSG Senate in an attempt to retrieve some answers.,Campus Voices,https://www.dukechronicle.com/article/2024/04/040124-monday-monday-duke-student-government
A word on teaching,Luke A. Powery,2024-04-01,Anyone can be a teacher by teaching with their life.,Campus Voices,https://www.dukechronicle.com/article/2024/04/040124-powery-teaching-word
On love and other things,Susan Chemmanoor,2024-03-29,"Love is not a divine act. There will be no higher voice compelling you to a person. Instead, love is a choice.",Campus Voices,https://www.dukechronicle.com/article/2024/03/032924-chemmanoor-love-romcom-romance
Ordering destruction,Aaron Siegle,2024-03-29,Let’s remind Duke that the best form of waste diversion is avoiding single-use disposables altogether.,Campus Voices,https://www.dukechronicle.com/article/2024/03/032924-siegle-ordering-destruction
So long lives this,Anna Garziera,2024-03-27,"In a school as industry-driven as Duke, it is surprising how little we students appreciate certain life skills that are invaluable to our future careers. Writing is one of them.",Campus Voices,https://www.dukechronicle.com/article/2024/03/032724-garziera-so-long-lives-this
What your major says about you (part 2),Alex Berkman,2024-03-26,New kink discovered at Duke: Apparently students love to be degraded.,Campus Voices,https://www.dukechronicle.com/article/2024/03/032624-berkman-major-says-about-you-two
Duke Asian Students Association endorses Heather Raslan for DSG president,Asian Students Association,2024-03-25,The Duke Asian Students Association has chosen to endorse Heather Raslan for DSG President.,Opinion,https://www.dukechronicle.com/article/2024/03/032524-duke-asian-students-association-dsg-endorsement
Society of Women Engineers endorses Emily Yagoda for DSG president,Society of Women Engineers,2024-03-25,"After careful deliberation, the Society of Women Engineers proudly announces its official endorsement of Emily Yagoda for DSG presidency for the 2024-2025 academic year.",Opinion,https://www.dukechronicle.com/article/2024/03/032524-society-of-women-engineers-dsg-endorsement
Redefining health support at Duke: A call for STINF policy reform,Barbara Cardenas,2024-03-25,"Extending the number of STINF days, coupled with procedural improvements and enhanced faculty training, recognizes the reality of student life, respects the complexity of health issues and reaffirms Duke’s dedication to the holistic well-being of its students.",Campus Voices,https://www.dukechronicle.com/article/2024/03/032524-cardenas-redefining-stinf
"Dating apps are good, actually",Heidi Smith,2024-03-25,"While dating apps are generally a positive tool for the broader population, they are especially handy on a university’s campus.",Campus Voices,https://www.dukechronicle.com/article/2024/03/032524-smith-dating-apps-good
Bye bye buzzwords,Gabrielle Mollin,2024-03-21,"Though political buzzwords can usefully define social movements, they inhibit the discourse needed to sustain long-term, widespread social change through rhetorical alienation.",Campus Voices,https://www.dukechronicle.com/article/2024/03/032124-mollin-buzzwords-conversation
London Bridge is falling down: Deconstructing the colonialist tourist lens,Advikaa Anand,2024-03-21,"Like human nature, history is not black and white. Each player is complex, saddled with nuances worthy of both condemnation and redemption.",Campus Voices,https://www.dukechronicle.com/article/2024/03/032124-anand-deconstructing-colonialist-tourist-lens
"The Chronicle is accepting letters in the DSG presidential election, EVP election",Viktoria Wulff-Andersen and Audrey Wang,2024-03-21,The Chronicle will be accepting endorsement letters for the 2024 Duke Student Government presidential and executive vice presidential elections from March 21 to March 25 at noon. All accepted endorsements will be published by March 26 at 11:59 p.m.,Opinion,https://www.dukechronicle.com/article/2024/03/031924-wang-wulff-andersen-dsg-election-endorsements
Separate lives,Carol Apollonio,2024-03-20,The myth that we only work six hours a week (and that we get our summers “off’) is a heinous lie. When do you think we learn the things that we’re teaching you?,Campus Voices,https://www.dukechronicle.com/article/2024/03/032024-apollonio-separate-lives
A sacrament of pause,Luke A. Powery,2024-03-18,Silence — as uncomfortable as it can be — could be what we need in our TikTok society full of talking media heads.,Campus Voices,https://www.dukechronicle.com/article/2024/03/031824-powery-sacrament-pause
Homebound over hoopla: Why I'm ok with missing the Duke-UNC game,Barbara Cardenas,2024-03-08,"My choice to prioritize home is a reminder that sometimes, the greatest joy comes not from being part of the crowd but from embracing the paths that lead us back to where we belong.",Campus Voices,https://www.dukechronicle.com/article/2024/03/030824-cardenas
The quiet crisis is upon us,Aaron Siegle,2024-03-08,"While responding to climate change should still be of utmost concern, a net-zero future is not enough to restore ecological balance to our planet.",Campus Voices,https://www.dukechronicle.com/article/2024/03/030824-siegle-quiet-crisis-upon-us
Beyond the walls of fear,Paul Dilly,2024-03-08,"Despite all the burdens you carry, however, there are still ways in which you can discover pieces of yourself. ",Campus Voices,https://www.dukechronicle.com/article/2024/03/030824-dilly-beyond-fear
What if our school work actually mattered?,Aaron Price,2024-03-07,I hope we stop throwing away our hours of grinding and that we recognize schoolwork can serve student development and our community at the same time.,Campus Voices,https://www.dukechronicle.com/article/2024/03/030724-price-school-work-mattered
"A love letter to our cool, queer universe",Nik Narain,2024-03-07,"If science is the most epic narrative of who we are, how things work and how we got here, what’s more beautiful than connecting your own story within that narrative — especially if it not only helps you remember science but celebrate it?",Campus Voices,https://www.dukechronicle.com/article/2024/03/030724-narain-queer-universe-love-letter
QuadEx could be great. Here’s how (Part II) ,Nicholas Chrapliwy,2024-03-06,"Between the smallest scale of roommates and the largest scale of the whole 250-to-500-person Quad, there is a fundamental need for a scale of community that is structured around the natural social niche of thirty to sixty people for QuadEx to be successful at building and sustaining real communities within the model.",Campus Voices,https://www.dukechronicle.com/article/2024/03/030624-chrapliwy-quadex-part-two
Better one safe way,Anna Garziera,2024-03-06,"However, the underlying motivation is clear: Advice-givers are either trying to grow their fan base or their wallet.",Campus Voices,https://www.dukechronicle.com/article/2024/03/030624-garziera-better-one-safe-way
